Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Bilheteria,Bilheteria_por_minuto,Ano_Lancamento
572,tt1045658,2014-10-26,2014-10-26,WATCHED. $236.4,O Lado Bom da Vida,Silver Linings Playbook,https://www.imdb.com/title/tt1045658/,Filme,7.7,122,2012,"Comédia, Drama, Romance",771548,2013-02-01,David O. Russell,236.4,1.937704918032787,2013.0
573,tt0322259,2014-10-26,2014-10-26,WATCHED. $236.4,+ Velozes + Furiosos,2 Fast 2 Furious,https://www.imdb.com/title/tt0322259/,Filme,6.0,107,2003,"Ação, Policial, Suspense",322294,2003-06-13,John Singleton,236.4,2.209345794392523,2003.0
574,tt0212720,2014-10-26,2014-10-26,WATCHED. $235.9,A.I.: Inteligência Artificial,A.I. Artificial Intelligence,https://www.imdb.com/title/tt0212720/,Filme,7.2,146,2001,"Aventura, Drama, Ficção científica",338098,2001-09-07,Steven Spielberg,235.9,1.6157534246575342,2001.0
575,tt0097165,2014-10-26,2014-10-26,WATCHED. $235.9,Sociedade dos Poetas Mortos,Dead Poets Society,https://www.imdb.com/title/tt0097165/,Filme,8.1,128,1989,"Comédia, Drama",645644,1990-02-28,Peter Weir,235.9,1.84296875,1990.0
576,tt3079380,2015-08-04,2016-03-15,WATCHED. $235.7,A Espiã Que Sabia de Menos,Spy,https://www.imdb.com/title/tt3079380/,Filme,7.0,120,2015,"Ação, Comédia",273343,2015-06-04,Paul Feig,235.7,1.9641666666666666,2015.0
577,tt0163651,2014-10-26,2014-10-26,WATCHED. $235.5,American Pie: A Primeira Vez é Inesquecível,American Pie,https://www.imdb.com/title/tt0163651/,Filme,7.0,95,1999,Comédia,466414,1999-10-29,Paul Weitz,235.5,2.4789473684210526,1999.0
578,tt4846340,2017-03-30,2017-12-06,"WILL WATCH. $235.5still ongoing, not yet final",Estrelas Além do Tempo,Hidden Figures,https://www.imdb.com/title/tt4846340/,Filme,7.8,127,2016,"Biografia, Drama, História",286799,2017-02-02,Theodore Melfi,235.5,1.8543307086614174,2017.0
579,tt0347149,2014-10-26,2014-10-26,WATCHED. $235.2,O Castelo Animado,Hauru no ugoku shiro,https://www.imdb.com/title/tt0347149/,Filme,8.2,119,2004,"Animação, Aventura, Família, Fantasia",508273,2005-08-05,Hayao Miyazaki,235.2,1.976470588235294,2005.0
580,tt1605630,2014-10-26,2014-10-26,DIDN'T WATCH. $235.0,American Pie: O Reencontro,American Reunion,https://www.imdb.com/title/tt1605630/,Filme,6.7,113,2012,Comédia,233294,2012-04-20,"Jon Hurwitz, Hayden Schlossberg",235.0,2.079646017699115,2012.0
581,tt0142342,2014-10-26,2015-08-24,WATCHED. $234.8,O Paizão,Big Daddy,https://www.imdb.com/title/tt0142342/,Filme,6.5,93,1999,"Comédia, Drama",250729,1999-10-08,Dennis Dugan,234.8,2.524731182795699,1999.0
582,tt2974918,2016-02-23,2016-05-27,DIDN'T WATCH. $234.8,Alvin e os Esquilos: Na Estrada,Alvin and the Chipmunks: The Road Chip,https://www.imdb.com/title/tt2974918/,Filme,5.0,92,2015,"Aventura, Comédia, Família, Fantasia, Musical, Musical",25632,2015-12-24,Walt Becker,234.8,2.5521739130434784,2015.0
583,tt2084970,2015-03-12,2016-03-15,WILL WATCH. $233.6,O Jogo da Imitação,The Imitation Game,https://www.imdb.com/title/tt2084970/,Filme,8.0,114,2014,"Biografia, Drama, Suspense, Guerra",874473,2015-02-05,Morten Tyldum,233.6,2.049122807017544,2015.0
584,tt0970416,2014-10-26,2014-10-26,WILL WATCH. $233.1,O Dia em que a Terra Parou,The Day the Earth Stood Still,https://www.imdb.com/title/tt0970416/,Filme,5.5,104,2008,"Aventura, Drama, Ficção científica, Suspense",186800,2009-01-09,Scott Derrickson,233.1,2.2413461538461537,2009.0
585,tt1568346,2014-10-26,2014-10-26,DIDN'T WATCH. $232.6,Millennium - Os Homens que Não Amavam as Mulheres,The Girl with the Dragon Tattoo,https://www.imdb.com/title/tt1568346/,Filme,7.8,158,2011,"Policial, Drama, Mistério, Suspense",526542,2012-01-27,David Fincher,232.6,1.4721518987341773,2012.0
586,tt1024648,2014-10-26,2014-10-26,WATCHED. $232.3,Argo,Argo,https://www.imdb.com/title/tt1024648/,Filme,7.7,120,2012,"Biografia, Drama, História, Suspense",664472,2012-11-09,Ben Affleck,232.3,1.9358333333333335,2012.0
587,tt0116209,2014-10-26,2014-10-26,DIDN'T WATCH. $232.0,O Paciente Inglês,The English Patient,https://www.imdb.com/title/tt0116209/,Filme,7.4,162,1996,"Drama, Romance, Guerra",212942,1997-02-21,Anthony Minghella,232.0,1.4320987654320987,1997.0
588,tt0105417,2014-10-26,2014-10-26,DIDN'T WATCH. $231.6,Mudança de Hábito,Sister Act,https://www.imdb.com/title/tt0105417/,Filme,6.6,100,1992,"Comédia, Família, Musical",117902,1992-10-30,Emile Ardolino,231.6,2.316,1992.0
589,tt0328828,2014-10-26,2014-10-26,WATCHED. $231.4,American Pie: O Casamento,American Wedding,https://www.imdb.com/title/tt0328828/,Filme,6.3,96,2003,Comédia,228425,2003-11-28,Jesse Dylan,231.4,2.410416666666667,2003.0
590,tt0467406,2014-10-26,2014-10-26,WATCHED. $231.4,Juno,Juno,https://www.imdb.com/title/tt0467406/,Filme,7.4,96,2007,"Comédia, Drama",571124,2008-02-22,Jason Reitman,231.4,2.410416666666667,2008.0
591,tt0360486,2014-10-26,2014-10-26,WATCHED. $230.9,Constantine,Constantine,https://www.imdb.com/title/tt0360486/,Filme,7.0,121,2005,"Ação, Fantasia, Terror, Mistério",405780,2005-03-11,Francis Lawrence,230.9,1.9082644628099175,2005.0
592,tt0425061,2014-10-26,2014-10-26,WATCHED. $230.7,Agente 86,Get Smart,https://www.imdb.com/title/tt0425061/,Filme,6.5,110,2008,"Ação, Aventura, Comédia",237100,2008-06-20,Peter Segal,230.7,2.097272727272727,2008.0
593,tt0117705,2014-10-26,2014-10-26,WATCHED. $230.4,Space Jam - O Jogo do Século,Space Jam,https://www.imdb.com/title/tt0117705/,Filme,6.5,88,1996,"Animação, Aventura, Comédia, Família, Fantasia, Ficção científica, Esportes",228909,1996-12-25,Joe Pytka,230.4,2.618181818181818,1996.0
594,tt2404463,2014-10-26,2014-10-26,WILL WATCH. $229.9,As Bem-Armadas,The Heat,https://www.imdb.com/title/tt2404463/,Filme,6.6,117,2013,"Ação, Comédia, Policial",188037,2013-09-20,Paul Feig,229.9,1.964957264957265,2013.0
595,tt0453451,2014-10-26,2014-10-26,WATCHED. $229.7,As Férias de Mr. Bean,Mr. Bean's Holiday,https://www.imdb.com/title/tt0453451/,Filme,6.4,90,2007,"Comédia, Família",141680,2007-04-06,Steve Bendelack,229.7,2.552222222222222,2007.0
596,tt0118799,2014-10-26,2014-10-26,DIDN'T WATCH TILL THE END. $229.2,A Vida é Bela,La vita è bella,https://www.imdb.com/title/tt0118799/,Filme,8.6,116,1997,"Comédia, Drama, Romance, Guerra",808523,1999-02-05,Roberto Benigni,229.2,1.975862068965517,1999.0
597,tt1289401,2016-09-03,2016-12-16,WILL WATCH. $229.1,Caça-Fantasmas,Ghostbusters,https://www.imdb.com/title/tt1289401/,Filme,6.8,117,2016,"Ação, Comédia, Fantasia, Ficção científica",258063,2016-07-14,Paul Feig,229.1,1.958119658119658,2016.0
598,tt0259324,2014-10-26,2014-10-26,WATCHED. $228.7,Motoqueiro Fantasma,Ghost Rider,https://www.imdb.com/title/tt0259324/,Filme,5.3,110,2007,"Ação, Fantasia, Suspense",267942,2007-03-02,Mark Steven Johnson,228.7,2.079090909090909,2007.0
599,tt5061814,2016-04-18,2016-04-18,DIDN'T WATCH. $228.1,Xia Luo te fan nao,Xia Luo te fan nao,https://www.imdb.com/title/tt5061814/,Filme,6.7,104,2015,"Comédia, Drama, Fantasia, Romance",4084,2015-09-30,"Da-Mo Peng, Fei Yan",228.1,2.1932692307692307,2015.0
600,tt0097733,2014-10-26,2014-10-26,DIDN'T WATCH. $227.9,Máquina Mortífera 2,Lethal Weapon 2,https://www.imdb.com/title/tt0097733/,Filme,7.3,114,1989,"Ação, Policial, Suspense",200583,1989-09-21,Richard Donner,227.9,1.999122807017544,1989.0
601,tt0990407,2014-10-26,2014-10-26,WATCHED. $227.8,O Besouro Verde,The Green Hornet,https://www.imdb.com/title/tt0990407/,Filme,5.8,119,2011,"Ação, Comédia, Policial",168793,2011-02-18,Michel Gondry,227.8,1.9142857142857144,2011.0
602,tt0108160,2014-10-26,2014-10-26,WATCHED. $227.8,Sintonia de Amor,Sleepless in Seattle,https://www.imdb.com/title/tt0108160/,Filme,6.8,105,1993,"Comédia, Drama, Romance",206284,1993-11-26,Nora Ephron,227.8,2.1695238095238096,1993.0
603,tt0089755,2016-08-26,2016-08-26,WILL WATCH. $227.5,Entre Dois Amores,Out of Africa,https://www.imdb.com/title/tt0089755/,Filme,7.2,161,1985,"Biografia, Drama, Romance",92529,1986-03-20,Sydney Pollack,227.5,1.4130434782608696,1986.0
604,tt1253864,2014-10-26,2014-10-26,DIDN'T WATCH. $226.9,Imortais,Immortals,https://www.imdb.com/title/tt1253864/,Filme,6.0,110,2011,"Ação, Drama, Fantasia, Romance",182792,2011-12-30,Tarsem Singh,226.9,2.062727272727273,2011.0
